profile_gender,profile_age,profile_income,profile_membership_days,transcript_time,offer_completed,offer_received,offer_viewed,offer_transaction,transcript_amount,transcript_reward,meta_reward,meta_required_spending,meta_max_hours,successful_offer,transaction_amount_rate,user_category,0,1,2,3,4,5,6,7,8,9,10
1,33.0,72000.0,1448,470.7,3,5,4,8,127.6,9.0,25.0,65.0,87.6,3,1.090335909710893,2,1,1,0,1,0,0,0,1,1,0,1
0,40.0,57000.0,1185,365.0,3,5,5,5,79.46000000000001,13.0,39.0,96.0,114.66666666666667,3,0.6789819074108744,1,1,0,1,0,0,0,1,0,1,1,1
2,59.0,90000.0,1861,335.6842105263158,3,5,3,8,196.86,14.0,50.0,90.0,98.52631578947368,3,1.6821593039630598,2,1,1,0,0,1,1,0,0,1,0,0
2,24.0,60000.0,1609,374.8695652173913,3,4,4,12,154.04999999999998,13.0,39.0,51.0,65.73913043478261,3,1.3163498972646008,2,1,0,1,1,0,0,1,0,1,0,0
2,26.0,73000.0,1387,390.6,3,5,4,18,48.34000000000001,9.0,22.0,100.0,75.2,3,0.4130629927541111,1,1,1,0,0,0,0,0,0,1,1,1
2,19.0,65000.0,1703,260.16,1,5,2,17,68.50999999999999,2.0,15.0,70.0,57.6,1,0.5854146800493203,1,1,1,0,0,0,0,0,1,1,1,0
2,55.0,74000.0,1066,456.0,2,3,2,6,138.36,7.0,21.0,45.0,90.46153846153847,2,1.1822795961410593,0,1,1,0,1,0,0,0,0,0,0,1
1,54.0,99000.0,1834,433.38461538461536,5,5,4,12,347.37999999999994,24.0,62.0,110.0,96.0,4,2.9683455197129307,2,1,1,0,1,0,1,0,0,0,0,0
1,56.0,47000.0,1216,361.38461538461536,1,5,3,4,20.360000000000003,5.0,72.0,80.0,116.3076923076923,1,0.17397522822659706,1,1,0,0,0,0,1,1,1,0,0,0
1,54.0,91000.0,1691,411.2,3,4,3,5,144.14,13.0,34.0,76.0,112.0,3,1.2316694202643268,2,1,0,1,0,0,0,1,0,0,1,1
2,58.0,119000.0,1218,310.9655172413793,5,6,3,15,375.11999999999995,32.0,81.0,180.0,87.72413793103448,3,3.205382495695534,2,1,0,0,0,1,1,0,1,0,1,1
2,28.0,68000.0,1308,339.6666666666667,2,5,4,7,121.85,10.0,25.0,25.0,76.0,2,1.041202434155739,0,1,0,0,0,0,0,1,0,1,0,1
